name,node_id,zone_id,node_type,ctrl_type,x_coord,y_coord,geometry
,100574,0,,,1523087.002000,997722.938000,"POINT (1523087.002000 997722.938000)"
,100575,0,,,1523557.312000,997704.500000,"POINT (1523557.312000 997704.500000)"
,100576,0,,,1524511.742000,997739.875000,"POINT (1524511.742000 997739.875000)"
,100577,0,,,1523067.062000,997023.125000,"POINT (1523067.062000 997023.125000)"
,100578,0,,,1523316.885000,997023.063000,"POINT (1523316.885000 997023.063000)"
,100579,0,,,1523540.834000,997033.688000,"POINT (1523540.834000 997033.688000)"
,100580,0,,,1524048.073000,997023.938000,"POINT (1524048.073000 997023.938000)"
,100581,0,,,1524859.303000,997019.750000,"POINT (1524859.303000 997019.750000)"
,100582,0,,,1525187.918000,997022.312000,"POINT (1525187.918000 997022.312000)"
,100583,0,,,1525154.565000,996344.625000,"POINT (1525154.565000 996344.625000)"
,100584,0,,,1525958.695000,994792.688000,"POINT (1525958.695000 994792.688000)"
,100585,0,,,1523506.968000,995549.813000,"POINT (1523506.968000 995549.813000)"
,100586,0,,,1523479.000000,994212.000000,"POINT (1523479.000000 994212.000000)"
,100587,0,,,1521238.590000,996178.500000,"POINT (1521238.590000 996178.500000)"
,100588,0,,,1521152.244000,994449.438000,"POINT (1521152.244000 994449.438000)"
,100589,0,,,1520646.808000,993184.062000,"POINT (1520646.808000 993184.062000)"
,100590,0,,,1522139.969000,993302.188000,"POINT (1522139.969000 993302.188000)"
,100591,0,,,1522661.804000,993542.438000,"POINT (1522661.804000 993542.438000)"
,100592,0,,,1523384.680000,993537.938000,"POINT (1523384.680000 993537.938000)"
,100593,0,,,1523460.910000,993536.250000,"POINT (1523460.910000 993536.250000)"
,100594,0,,,1524271.202000,993524.375000,"POINT (1524271.202000 993524.375000)"
,100595,0,,,1524660.076000,993514.312000,"POINT (1524660.076000 993514.312000)"
,100596,0,,,1526539.414000,993476.563000,"POINT (1526539.414000 993476.563000)"
