              A,B,DISTANCE,STREET,ONEWAY,TAZID,LINKID,LANES,FT,SFF,SFF_TIME,CAP1HR1LN,Length,geometry
5118,11255,0.191200,9000 Sout,2,1358,5118_11255,2,2,32.757050,0.350210,847.443180,0.000000,"LINESTRING (-111.904260 40.588014 ,-111.907886 40.587813)",
5118,11910,0.135800,500 West,2,1325,5118_11910,1,4,24.678100,0.330170,633.080000,0.000000,"LINESTRING (-111.904260 40.588014 ,-111.904258 40.589983)",
5119,5727,0.058000,9000 Sout,2,1325,5119_5727,2,2,32.757050,0.106240,847.443180,0.000000,"LINESTRING (-111.901030 40.587971 ,-111.902133 40.588000)",
5174,1357,0.417090,Cent,2,1357,5174_1357,7,1,21.176470,1.181750,10000.000000,0.000000,"LINESTRING (-111.913869 40.559071 ,-111.914302 40.565109)",
5174,5587,0.296100,South Jor,2,1401,5174_5587,2,3,36.363640,0.488560,814.416000,0.000000,"LINESTRING (-111.913869 40.559071 ,-111.919260 40.560309)",
5174,5868,0.194300,South Jor,2,1401,5174_5868,2,3,36.363640,0.320590,814.416000,0.000000,"LINESTRING (-111.913869 40.559071 ,-111.910187 40.558860)",
5175,5729,0.185310,9800 Sout,2,1406,5175_5729,1,4,24.678100,0.450550,633.080000,0.000000,"LINESTRING (-111.904348 40.569696 ,-111.900825 40.569709)",
5175,11257,0.211670,9800 Sout,2,1405,5175_11257,1,4,24.678100,0.514630,633.080000,0.000000,"LINESTRING (-111.904348 40.569696 ,-111.908371 40.569754)",
5208,5209,0.399900,Redwood R,2,1351,5208_5209,2,2,39.560440,0.606510,892.045410,0.000000,"LINESTRING (-111.938693 40.562285 ,-111.938738 40.568083)",
5208,5238,0.640700,Redwood R,2,1395,5208_5238,1,2,38.560440,0.996930,929.510400,0.000000,"LINESTRING (-111.938693 40.562285 ,-111.938753 40.552997)",
5208,11261,0.214700,South Jor,2,1397,5208_11261,2,3,36.363640,0.354250,814.416000,0.000000,"LINESTRING (-111.938693 40.562285 ,-111.934612 40.562298)",
5208,11282,0.266600,10400 Sou,2,1395,5208_11282,1,3,35.363640,0.452330,857.280000,0.000000,"LINESTRING (-111.938693 40.562285 ,-111.943762 40.562247)",
5209,1351,0.252410,Cent,2,1351,5209_1351,7,1,21.176470,0.715160,10000.000000,0.000000,"LINESTRING (-111.938738 40.568083 ,-111.943535 40.568001)",
5209,1352,0.251590,Cent,2,1352,5209_1352,7,1,21.176470,0.712840,10000.000000,0.000000,"LINESTRING (-111.938738 40.568083 ,-111.933963 40.567876)",
5209,5208,0.399900,Redwood R,2,1351,5209_5208,2,2,39.560440,0.606510,892.045410,0.000000,"LINESTRING (-111.938738 40.568083 ,-111.938693 40.562285)",
5209,5211,0.346800,Redwood R,2,1351,5209_5211,2,2,39.560440,0.525980,892.045410,0.000000,"LINESTRING (-111.938738 40.568083 ,-111.938687 40.573111)",
5210,1348,0.252530,Cent,2,1348,5210_1348,7,1,21.176470,0.715500,10000.000000,0.000000,"LINESTRING (-111.938741 40.576961 ,-111.943542 40.576985)",
5210,1349,0.230910,Cent,2,1349,5210_1349,7,1,21.176470,0.654250,10000.000000,0.000000,"LINESTRING (-111.938741 40.576961 ,-111.934352 40.576870)",
5210,5211,0.265600,Redwood R,2,1348,5210_5211,2,2,39.560440,0.402830,892.045410,0.000000,"LINESTRING (-111.938741 40.576961 ,-111.938687 40.573111)",
5210,11172,0.497400,Redwood R,2,1346,5210_11172,2,2,39.560440,0.754390,892.045410,0.000000,"LINESTRING (-111.938741 40.576961 ,-111.938819 40.584171)",
5211,5209,0.346800,Redwood R,2,1351,5211_5209,2,2,39.560440,0.525980,892.045410,0.000000,"LINESTRING (-111.938687 40.573111 ,-111.938738 40.568083)",
5211,5210,0.265600,Redwood R,2,1348,5211_5210,2,2,39.560440,0.402830,892.045410,0.000000,"LINESTRING (-111.938687 40.573111 ,-111.938741 40.576961)",
5211,11180,0.302850,9800 Sout,2,1351,5211_11180,1,4,29.323210,0.619680,666.400000,0.000000,"LINESTRING (-111.938687 40.573111 ,-111.944442 40.573253)",
5211,11181,0.402710,9800 Sout,2,1352,5211_11181,1,4,29.323210,0.824010,666.400000,0.000000,"LINESTRING (-111.938687 40.573111 ,-111.931031 40.573173)",
5214,6256,0.403140,1300 West,2,1352,5214_6256,1,4,29.323210,0.824890,666.400000,0.000000,"LINESTRING (-111.929207 40.562200 ,-111.929139 40.568044)",
5214,11259,0.130600,South Jor,2,1401,5214_11259,2,3,36.363640,0.215490,814.416000,0.000000,"LINESTRING (-111.929207 40.562200 ,-111.926737 40.562009)",
5214,11261,0.284400,South Jor,2,1397,5214_11261,2,3,36.363640,0.469260,814.416000,0.000000,"LINESTRING (-111.929207 40.562200 ,-111.934612 40.562298)",
5214,11281,0.444140,1300 West,2,1398,5214_11281,1,4,29.323210,0.908780,666.400000,0.000000,"LINESTRING (-111.929207 40.562200 ,-111.929153 40.555761)",
5215,5588,0.143540,9800 Sout,2,1357,5215_5588,1,4,29.323210,0.293710,666.400000,0.000000,"LINESTRING (-111.919678 40.572454 ,-111.917018 40.571988)",
5215,6255,0.454090,1000 West,2,1356,5215_6255,1,5,26.323210,1.035030,514.500000,0.000000,"LINESTRING (-111.919678 40.572454 ,-111.919626 40.565871)",
5215,11183,0.196130,9800 Sout,2,1355,5215_11183,1,4,29.323210,0.401310,666.400000,0.000000,"LINESTRING (-111.919678 40.572454 ,-111.923406 40.572477)",
5216,5356,0.192600,South Jor,2,1408,5216_5356,2,3,27.940460,0.413590,773.695200,0.000000,"LINESTRING (-111.902774 40.558997 ,-111.899113 40.558973)",
5216,5868,0.390100,South Jor,2,1405,5216_5868,2,3,27.940460,0.837710,773.695200,0.000000,"LINESTRING (-111.902774 40.558997 ,-111.910187 40.558860)",
5216,10847,0.127380,500 West,2,1407,5216_10847,2,4,30.323210,0.252040,633.080000,0.000000,"LINESTRING (-111.902774 40.558997 ,-111.902749 40.557151)",
5216,11507,0.234610,300 West,2,1406,5216_11507,2,4,25.678100,0.548190,601.426000,0.000000,"LINESTRING (-111.902774 40.558997 ,-111.902527 40.562393)",
5219,1349,0.272610,Cent,2,1349,5219_1349,7,1,21.176470,0.772400,10000.000000,0.000000,"LINESTRING (-111.929172 40.576740 ,-111.934352 40.576870)",
5219,1355,0.232860,Cent,2,1355,5219_1355,7,1,21.176470,0.659770,10000.000000,0.000000,"LINESTRING (-111.929172 40.576740 ,-111.924746 40.576632)",
5219,5232,0.292950,1300 West,2,1349,5219_5232,1,4,29.323210,0.599420,666.400000,0.000000,"LINESTRING (-111.929172 40.576740 ,-111.929201 40.572493)",
5219,11173,0.526230,1300 West,2,1353,5219_11173,1,4,29.323210,1.076750,666.400000,0.000000,"LINESTRING (-111.929172 40.576740 ,-111.929246 40.584369)",
5232,5219,0.292950,1300 West,2,1349,5232_5219,1,4,29.323210,0.599420,666.400000,0.000000,"LINESTRING (-111.929201 40.572493 ,-111.929172 40.576740)",
5232,6256,0.306920,1300 West,2,1352,5232_6256,1,4,29.323210,0.628010,666.400000,0.000000,"LINESTRING (-111.929201 40.572493 ,-111.929139 40.568044)",
5232,11182,0.050480,9800 Sout,2,1349,5232_11182,1,4,29.323210,0.103290,666.400000,0.000000,"LINESTRING (-111.929201 40.572493 ,-111.930154 40.572580)",
5232,11183,0.304770,9800 Sout,2,1355,5232_11183,1,4,29.323210,0.623610,666.400000,0.000000,"LINESTRING (-111.929201 40.572493 ,-111.923406 40.572477)",
