node_id,x_coord,y_coord
313,1521709.4209862864,1001552.320071718
314,1521684.4334073374,1001814.3773756501
315,1521702.8825616918,1001532.2236941269
316,1521693.0124748365,1001338.1648754738
317,1521696.8512244532,1001547.2162209798
318,1521314.6837800613,1001544.6685457143
319,1521709.9811239662,1001067.5866308348
320,1521699.8992163064,1001318.1488014844
321,1521716.9077836783,1001052.245703551
322,1521932.93041693,1001053.1456183778
323,1522110.4220846575,1001010.2831975078
324,1521696.9549493426,1001062.8332873917
325,1521495.6897160967,1001065.4445046749
326,1521305.4382663057,1001067.9128290139
327,1521707.4794674446,1002017.2920391373
328,1521678.1289930632,1001834.428294829
329,1521716.9787045282,1002036.2219288797
330,1521742.5079171422,1002296.7062955353
331,1521722.3272719386,1002021.0092219675
332,1522132.6928847274,1002006.4283997467
333,1521702.653930027,1002033.7985352721
334,1521513.6725965436,1002037.3668126769
335,1521323.6913658169,1002040.9539697808
336,1522610.8391418166,1001009.9070967184
337,1522600.8943369791,1001260.1468715885
338,1522617.6838007388,1000994.4221753607
339,1522826.6628846398,1000992.2463936873
340,1522122.9075636268,1001794.3136202571
341,1521690.2336232492,1001826.7428006108
342,1522128.906894811,1001780.1524069875
343,1522123.651676788,1001532.1929167043
344,1522136.5772645057,1001799.9032185574
345,1522145.906227961,1002001.1686686521
346,1521304.4056712014,1001328.7233543866
347,1521685.9628343796,1001324.6080527257
348,1521289.2284230276,1001322.3130033518
349,1521289.431811718,1001263.1749442111
350,1521290.0866390702,1001072.7748850705
351,1521300.1832617603,1001342.0584546747
352,1521309.466829237,1001529.1040432508
353,1522103.9585642114,1001314.1722826661
354,1521706.139541444,1001331.0724093653
355,1522117.91319869,1001320.0152112808
356,1522129.8133817783,1001511.9235528002
357,1522110.53104154,1001300.1734322543
358,1522117.050796104,1001015.6951818432
359,1522409.3116064437,1001294.7906762733
360,1522586.58962471,1001268.03173012
361,1522404.0479701078,1001309.5125127442
362,1522416.1200602686,1001507.550568812
363,1522396.5563746176,1001289.7060500216
364,1522399.6100501455,1001012.524836413
365,1522832.5501822026,1001307.5805646167
366,1522606.396508106,1001274.8944494496
367,1522837.496910822,1001295.6551787939
368,1522831.6702350471,1001007.4960914243
